,Institution,Control,State,Category
200,Dabney S. Lancaster Community College,Public,VA,Hybrid model
201,Daemen College,Private,NY,In-person
202,Dallas Baptist University,Private,TX,In-person
203,Dallas County Community College District,Public,TX,Online
204,Dartmouth College,Private,NH,Considering options
205,Davenport University,Private,MI,Undecided
206,Davidson College,Private,NC,Considering options
207,De Anza College,Public,CA,Online
208,Denison University,Private,OH,In-person
209,DePaul University,Private,IL,In-person
210,DePauw University,Private,IN,In-person
211,Diablo Valley College,Public,CA,Online
212,Dickinson College,Private,PA,Considering options
213,DigiPen Institute of Technology,Private,WA,Considering options
214,Doane University,Public,NE,In-person
215,Dominican University ,Private,IL,In-person
216,Dominican University of California,Private,CA,In-person
217,Donnelly College,Private,KS,In-person
218,Dordt University,Private,IA,In-person
219,Drake University,Private,IA,In-person
220,Drew University,Private,NJ,Considering options
221,Drexel University,Private,PA,Undecided
222,Drury University,Private,MO,In-person
223,Duke University,Private,NC,Considering options
224,Duke University,Private,NC,In-person
225,Duquesne University,Private,PA,In-person
226,Earlham College,Private,IN,In-person
227,East Carolina University,Public,NC,In-person
228,East Tennessee State University,Public,TN,Undecided
229,Eastern Florida State College,Public,FL,Hybrid model
230,Eastern Illinois University,Public,IL,In-person
231,Eastern Michigan University,Public,MI,In-person
232,Eastern Nazarene College,Private,MA,In-person
233,Eastern Washington University,Public,WA,Online
234,Eckerd College,Private,FL,In-person
235,Edinboro University,Public ,PA,In-person
236,Elmhurst College,Private,IL,In-person
237,Elon University,Private,NC,In-person
238,Embry-Riddle Aeronautical University,Private,AZ,In-person
239,Embry-Riddle Aeronautical University,Private,FL,In-person
240,Emerson College,Private,MA,In-person
241,Emmanuel College Boston,Private,MA,Considering options
242,Emory & Henry College,Private,VA,In-person
243,Emory University,Private,GA,In-person
244,Emporia State University,Public,KS,In-person
245,Evangel University,Private,MO,In-person
246,Evergreen State College,Public,WA,Hybrid model
247,Evergreen Valley College,Public,CA,Online
248,Fairfield University,Private,CT,In-person
249,Fairleigh Dickinson University,Private,NJ,Hybrid model
250,Fairmont State University,Public,WV,In-person
251,Faith Baptist Bible College,Private,IA,In-person
252,Ferris State University,Public,MI,In-person
253,Ferrum College,Private,VA,In-person
254,Finlandia University,Private,MI,In-person
255,Fisher College,Private,MA,Undecided
256,Florida Institute of Technology,Private,FL,In-person
257,Florida Southern College,Private,FL,In-person
258,Florida State University,Public,FL,In-person
259,Foothill College,Public,CA,Online
260,Fordham University,Private,NY,In-person
261,Fort Lewis College,Public,CO,In-person
262,Francis Marion University,Public,SC,In-person
263,Franciscan University of Steubenville,Private,OH,In-person
264,Franklin and Marshall College,Private,PA,Considering options
265,Franklin College,Private,IN,In-person
266,Franklin Pierce University,Private,NH,In-person
267,Fuller Theological Seminary,Private,CA,Online
268,Fullerton College,Public,CA,Hybrid model
269,Furman University,Private,SC,In-person
270,Gallaudet University,Private,DC,Undecided
271,Gannon University,Private,PA,In-person
272,Gardner-Webb University,Private,NC,In-person
273,Geneva College,Private,PA,In-person
274,George Fox University,Public,OR,In-person
275,George Mason University,Public,VA,In-person
276,George Washington University,Private,DC,In-person
277,Georgetown University,Private,DC,Hybrid model
278,Gettysburg College,Private,PA,Undecided
279,Glendale Community College,Public,CA,Hybrid model
280,Gonzaga University,Private,WA,In-person
281,Goshen College,Private,IN,In-person
282,Goucher College,Private,MD,In-person
283,Grace College,Private,IN,In-person
284,Grand Rapids Community College,Public,MI,Hybrid model
285,Grand Valley State University,Public,MI,In-person
286,Great Basin College,Public,NV,Hybrid model
287,Grinnell College,Private,IA,Considering options
288,Grove City College,Private,PA,In-person
289,Guiliford College,Private,NC,In-person
290,Hampden-Sydney College,Private,VA,In-person
291,Hampshire College,Private,MA,In-person
292,Hampton University,Private,VA,Undecided
293,Hanover College,Private,IN,In-person
294,Harding University,Private,AR,In-person
295,Harford Community College,Public,MD,Online
296,Hartnell College,Public,CA,Online
297,Harvard University,Private,MA,Considering options
298,Harvey Mudd College,Private,CA,Considering options
299,Hastings College,Private,NE,In-person
300,Haverford College,Private,PA,In-person
301,Hawaii Pacific University,Private,HI,In-person
302,Heidelberg University,Private,OH,In-person
303,Hendrix College,Private,AR,In-person
304,High Point University,Private,NC,In-person
305,Highline College,Public,WA,Hybrid model
306,Hilbert College,Private,NY,In-person
307,Hillsdale College,Private,MI,In-person
308,Hinds Community College,Public,MS,In-person
309,Hiram College,Private,OH,In-person
310,Hobart and WIlliam Smith Colleges,Private,NY,In-person
311,Hodges University,Private,FL,In-person
312,Hofstra University,Private,NY,Considering options
313,Hofstra University,Private,NY,In-person
314,Hollins University,Private,VA,In-person
315,Holy Cross College,Private,IN,In-person
316,Hood College,Private,MD,Undecided
317,Hope College,Private,MI,In-person
318,Hope International University,Private,CA,In-person
319,Howard University,Private,DC,In-person
320,Hudson County Community College,Public,NJ,Online
321,Hult International Business School,Private,MA,Considering options
322,Huntingdon College,Private,AL,In-person
323,Husson University,Private,ME,In-person
324,Iliff School of Theology,Private,CO,Online
325,Illinois College,Private,IL,In-person
326,Illinois Institute of Technology,Private,IL,In-person
327,Illinois State University,Public,IL,In-person
328,Immaculata University,Private,PA,In-person
329,Indiana State University,Public,IN,In-person
330,Indiana University,Public,IN,Hybrid model
331,Indiana University of Pennsylvania,Public,PA,Hybrid model
332,Iona College,Private,NY,Hybrid model
333,Iowa State University,Public,IA,Hybrid model
334,Ithaca College,Private,NY,In-person
335,Ivy Tech Community College,Public,IN,In-person
336,Jacksonville State University,Public,AL,In-person
337,Jacksonville University,Private,FL,Considering options
338,James Madison University,Public,VA,In-person
339,John Brown University,Private,AR,Hybrid model
340,John Carroll University,Private,OH,Hybrid model
341,Johns Hopkins University,Private,MD,Considering options
342,Johnson University — Florida,Private,FL,In-person
343,Johnson University — Tennessee,Private,TN,In-person
344,Judson University,Private,IL,In-person
345,Juniata College,Private,PA,In-person
346,Kalamazoo College,Private,MI,Undecided
347,Kansas City Art Institute,Private,MO,In-person
348,Kansas State University,Public,KS,In-person
349,Kean University,Public,NJ,Undecided
350,Kent State University,Public,OH,Hybrid model
351,Kenyon College,Private,OH,In-person
352,Keuka College,Private,NY,In-person
353,King's College,Private,PA,In-person
354,Knox College,Private,IL,In-person
355,La Roche University,Private,PA,In-person
356,La Salle University,Private,PA,In-person
357,Lafayette College,Private,PA,Undecided
358,LaGrange College,Private,GA,In-person
359,Laguna College of Art and Design,Private,CA,In-person
360,Lake Superior State University,Public,MI,In-person
361,Lakeland University,Private,WI,In-person
362,Lander University,Public,SC,In-person
363,Laney College,Public,CA,Online
364,Lansing Community College,Public,MI,Hybrid model
365,Lawrence Technological University,Private,MI,Undecided
366,Lawrence University,Private,WI,Considering options
367,LDS Business College,Private,UT,Hybrid model
368,Lee University,Private,TN,In-person
369,Lehigh University,Private,PA,In-person
370,LeTourneau University,Private,TX,In-person
371,Lewis and Clark College,Private,OR,In-person
372,Lewis College,Private,IL,In-person
373,Lewis University,Private,IL,In-person
374,Lewis-Clark State College,Public,ID,In-person
375,Liberty University,Private ,VA,In-person
376,Life Pacific University,Private,CA,In-person
377,Limestone College,Private,SC,In-person
378,Lincoln University (Pa.),Public,PA,In-person
379,Lindenwood University,Private,MO,In-person
380,Linfield College,Private,OR,In-person
381,Lipscomb,Private,TN,In-person
382,Lone Star College,Public,TX,Hybrid model
383,Longwood University,Public,VA,In-person
384,Loras College,Private,IA,In-person
385,Los Angeles Community College District — all campuses,Public,CA,Link
386,​Los Angeles Community College District — East Los Angeles College,Public,CA,Online
387,Los Angeles Community College District — Los Angeles City College,Public,CA,Online
388,Los Angeles Community College District — ​Los Angeles Harbor College,Public,CA,Online
389,​Los Angeles Community College District — Los Angeles Mission College,Public,CA,Online
390,Los Angeles Community College District — Los Angeles Pierce College,Public,CA,Online
391,Los Angeles Community College District — Los Angeles ​Southwest College,Public,CA,Online
392,Los Angeles Community College District — ​Los Angeles Trade-Tech College,Public,CA,Online
393,Los Angeles Community College District — ​Los Angeles Valley College,Public,CA,Online
394,Los Angeles Community College District — West Los Angeles College,Public,CA,Online
395,Louisana State University,Public,LA,In-person
396,Louisiana College,Private,LA,In-person
397,Loyola Marymount University,Private,CA,In-person
398,Loyola University Chicago,Private,IL,Considering options
399,Loyola University Maryland,Private,MD,In-person
400,Loyola University New Orleans,Private,LA,Hybrid model
401,Lubbock Christian University,Private,TX,In-person
402,Luther College,Private,IA,In-person
403,Lycoming College,Private,PA,In-person
404,Lynn University,Private,FL,In-person
405,Lyon College,Private,AR,In-person
406,Macalester College,Private,MN,In-person
407,Manhattan College,Private,NY,In-person
408,Manhattanville College,Private,NY,In-person
409,Mansfield University,Public,PA,In-person
410,Marietta College,Private,OH,In-person
411,Marquette University,Private,WI,In-person
412,Marshall University,Public,WV,In-person
413,Mary Baldwin University,Private,VA,In-person
414,Marymount Manhattan College,Private,NY,In-person
415,Marymount University,Private,VA,Hybrid model
416,Maryville College,Private,TN,In-person
417,Massachusetts College of Pharmacy and Health Sciences,Private,MA,Considering options
418,Massachusetts Institute of Technology,Private,MA,Undecided
419,Master's University,Private,CA,In-person
420,McDaniel College,Private,MD,Undecided
421,McMurry University,Private,TX,In-person
422,Mendocino College,Public,CA,Online
423,Menlo College,Private,CA,In-person
424,Mercer University,Private,GA,Considering options
425,Mercyhurst University,Private,PA,In-person
426,Merrimack College,Private,MA,In-person
427,Merritt College,Public,CA,Online
428,Messiah College,Private,PA,In-person
429,Metropolitan State University,Public,CO,Hybrid model
430,Miami Dade College,Public,FL,Undecided
431,Miami University,Public,OH,In-person
432,Michigan State University,Public,MI,In-person
433,Michigan Technological University,Public,MI,In-person
434,Mid-America Christian University,Private,OK,In-person
435,Mid-Atlantic Christian University,Private,NC,In-person
436,Middle Tennessee State University,Public,TN,In-person
437,Middlebury College,Private,VT,Undecided
438,Midlands University,Private,NE,In-person
439,Midwestern State University,Public,TX,In-person
440,Millikin University,Private,IL,In-person
441,Millsaps College,Private,MS,In-person
442,Milwaukee School of Engineering,Private,WI,In-person
443,Minnesota State University at Mankato,Public,MN,In-person
444,Minnesota State University at Moorhead,Public,MN,Considering options
445,MiraCosta College,Public,CA,Online
446,Mission College,Public,CA,Hybrid model
447,Mississippi College,Private,MS,In-person
448,Mississippi Public Universities,Public,MS,Link
449,Mississippi Public Universities — Alcorn State University,Public,MS,In-person
450,Mississippi Public Universities — Delta State University,Public,MS,In-person
451,Mississippi Public Universities — Jackson State University,Public,MS,In-person
452,Mississippi Public Universities — Mississippi State University,Public,MS,In-person
453,Mississippi Public Universities — Mississippi University for Women,Public,MS,In-person
454,Mississippi Public Universities — Mississippi Valley State University,Public,MS,In-person
455,Mississippi Public Universities — University of Mississippi,Public,MS,In-person
456,Mississippi Public Universities — University of Southern Mississippi,Public,MS,In-person
457,Missouri Southern State University,Public,MO,In-person
458,Missouri State University,Public,MO,In-person
459,Missouri University of Science and Technology,Public,MO,In-person
460,Missouri Western State University,Public,MO,In-person
461,Montana State University,Public,MT,In-person
462,Montana Technological University,Public,MT,In-person
463,Montclair State University,Public,NJ,Considering options
464,Montgomery College,Public,MD,Hybrid model
465,Moravian College,Private,PA,In-person
466,Morehead State University,Public,KY,In-person
467,Morgan State University,Public,MD,Considering options
468,Morningside College,Private,IA,In-person
469,Mount Holyoke,Private,MA,Hybrid model
470,Mount St. Joseph University,Private,OH,Considering options
471,Mount St. Mary's University,Private,MD,In-person
472,Mount Union University,Private,OH,In-person
473,Murray State University,Public,KY,In-person
474,Nazareth College,Private,NY,In-person
475,Nebraska State College System,Public,NE,Link
476,Nebraska State College System – Chadron State College,Public,NE,In-person
477,Nebraska State College System – Peru State College,Public,NE,In-person
478,Nebraska State College System – Wayne State College,Public,NE,In-person
479,Nebraska Wesleyan University,Private,NE,In-person
480,New College of Florida,Public,FL,Considering options
481,New England College,Private,NH,In-person
482,New England Conservatory,Private,MA,In-person
483,New Jersey Institute of Technology,Public,NJ,In-person
484,New Mexico State University,Public,NM,Hybrid model
485,New York Film Academy,Private,NY,In-person
486,New York Institute of Technology,Private,NY,Considering options
487,New York University,Private,NY,Hybrid model
488,Newberry College,Private,SC,In-person
489,North Carolina A&T State University,Public,NC,In-person
490,North Carolina Central University,Public,NC,In-person
491,North Carolina State University,Public,NC,In-person
492,North Central College,Private,IL,Considering options
493,North Dakota University system — all campuses,Public,ND,Link
494,North Dakota University system — Bismarck State College,Public,ND,In-person
495,North Dakota University system — Dakota College at Bottineau,Public,ND,In-person
496,North Dakota University system — Dickinson State University,Public,ND,In-person
497,North Dakota University system — Lake Region State College,Public,ND,In-person
498,North Dakota University system — Mayville State University,Public,ND,In-person
499,North Dakota University system — Minot State University,Public,ND,In-person
500,North Dakota University system — North Dakota State College of Science,Public,ND,In-person
501,North Dakota University system — North Dakota State University,Public,ND,In-person
502,North Dakota University system — University of North Dakota,Public,ND,In-person
503,North Dakota University system — Valley City State University,Public,ND,In-person
504,North Dakota University system — Williston State College,Public,ND,In-person
505,North Park University,Private,IL,In-person
506,Northeastern University,Private,MA,In-person
507,Northern Arizona University,Public,AZ,In-person
508,Northern Illinois University,Public,IL,Undecided
509,Northern Illinois University,Public,IL,Hybrid model
510,Northern Michigan University,Public,MI,In-person
511,Northern Vermont University,Public,VT,In-person
512,Northern Virginia Community College,Public,VA,Online
513,Northwest Missouri State University,Public,MO,In-person
514,Northwest Nazarene University,Private,ID,In-person
515,Northwestern College,Private,IA,In-person
516,Northwestern University,Private,IL,Hybrid model
517,Norwich University,Private,VT,In-person
518,Notre Dame of Maryland University,Private,MD,In-person
519,Nova Southeastern University,Private,FL,In-person
520,Oakland City University,Private,IN,In-person
521,Oakland Community College,Public,MI,Hybrid model
522,Oakland University,Public,MI,Hybrid model
523,Oberlin College,Private,OH,In-person
524,Ohio Dominican University,Private,OH,In-person
525,Ohio Northern University,Private,OH,In-person
526,Ohio State University,Public,OH,In-person
527,Ohio University,Public,OH,In-person
528,Ohio Wesleyan University,Private,OH,In-person
529,Oklahoma Panhandle State University,Public,OK,In-person
530,Oklahoma State University,Public,OK,In-person
531,Old Dominion University,Public,VA,In-person
532,Oral Roberts University,Private,OK,In-person
533,Oregon State University,Public,OR,In-person
534,Otterbein University,Private,OH,In-person
535,Ouachita Baptist University,Private,AR,In-person
536,Pace University,Private,NY,In-person
537,Pacific Lutheran University,Private,WA,In-person
538,Pacific Northwest College of Art,Private,OR,In-person
539,Pacific School of Religion,Private,CA,Hybrid model
540,Pacific University,Private,OR,In-person
541,Palm Beach Atlantic University,Private,FL,In-person
542,Palomar College,Public,CA,Hybrid model
543,Pennsylvania State University,Public,PA,Undecided
544,Pepperdine University,Private,CA,In-person
545,Pittsburg State University,Public,KS,In-person
546,Pittsburgh Technical College,Private,PA,Hybrid model
547,Plymouth State University,Public,MA,In-person
548,Point Loma Nazarene University,Private,CA,In-person
549,Point Park University,Public,PA,In-person
550,Pomona College,Private,CA,Undecided
551,Portland Community College,Public,OR,Online
552,Portland State University,Public,OR,Undecided
553,Post University,Private,CT,Hybrid model
554,Prairie View A&M University,Public,TX,In-person
555,Pratt Institute,Private,NY,Undecided
556,Presbyterian College,Private,SC,In-person
557,Prescott College,Private,AZ,In-person
558,Princeton University,Private,NJ,Undecided
559,Providence Christian College,Private,CA,In-person
560,Purdue University,Public,IN,In-person
561,Purdue University Fort Wayne,Public,IN,In-person
562,Queens University of Charlotte,Private,NC,Considering options
563,Quincy University,Private,IL,In-person
564,Radford University,Public,VA,In-person
565,Randolph College,Private,VA,In-person
566,Randolph-Macon College,Private,VA,In-person
567,Reed College,Private,OR,Undecided
568,Reformed Theological Seminary,Private,Multiple,In-person
569,Regis College,Private,MA,In-person
570,Regis University,Private,CO,In-person
571,Rensselaer Polytechnic Institute,Private,NY,Undecided
572,Rhodes College,Private,TN,In-person
573,Rice University,Private,TX,Hybrid model
574,Rider University,Private,NJ,Considering options
575,Roanoke College,Private,VA,In-person
576,Robert Morris University,Private,PA,In-person
577,Rochester Institute of Technology,Private,NY,In-person
578,Rockhurst University,Private,MO,In-person
579,Roger Williams University,Private,RI,In-person
580,Rollins College,Private,FL,In-person
581,Roosevelt University,Private,IL,Considering options
582,Rose-Hulman Institute of Technology,Private,IN,In-person
583,Rosemont College,Private,PA,Considering options
584,Rowan University,Public,NJ,Considering options
585,Rutgers University,Public,NJ,Considering options
586,Sacred Heart University,Private,CT,In-person
587,Sain Mary's University,Private,TX,In-person
588,Saint Francis University,Private,PA,In-person
589,Saint Lawrence University,Private,NY,Considering options
590,Saint Leo University,Private,FL,Undecided
591,Saint Mary's College,Private,IN,In-person
592,Saint Mary's University of Minnesota,Private,MI,In-person
593,Saint Norbert College,Private,WI,In-person
594,Samford University,Private,AL,In-person
595,San Bernardino Valley College,Public,CA,Hybrid model
596,San Diego Miramar College,Public,CA,Online
597,San Jacinto College,Public,TX,Undecided
598,San Jose City College,Public,CA,Online
599,Santa Clara University,Private,CA,In-person
600,Santa Monica College,Public,CA,Online
601,Santa Rosa Junior College,Public,CA,Online
602,Sarah Lawrence College,Private,NY,Considering options
603,Savannah College of Art and Design,Private,GA,In-person
604,School of Visual Arts,Private,NY,In-person
605,Schreiner University,Private,TX,In-person
606,Scripps College,Private,CA,Undecided
607,Seattle University,Private,WA,In-person
608,Seton Hall University,Private,NJ,In-person
609,Seton Hill University,Private,PA,In-person
610,Sewanee: The University of the South,Private,TN,In-person
611,Shenandoah University,Private,VA,Hybrid model
612,Shepherd University,Public,WV,Considering options
613,Siena College,Private,NY,In-person
614,Siena Heights University,Private,MI,In-person
615,Sierra College,Public,CA,Online
616,Simmons University,Private,MA,Hybrid model
617,Simpson College,Private,IA,In-person
618,Simpson University,Private,CA,In-person
619,Skidmore College,Private,NY,Undecided
620,Skyline College,Public,CA,Online
621,Slippery Rock University,Public,PA,Considering options
622,Slippery Rock University,Public,PA,In-person
623,Smith College,Private,MA,Considering options
624,Soka University of America,Private,CA,Online
625,South Dakota Board of Regents,Public,SD,Link
626,South Dakota Board of Regents — Black Hills State University,Public,SD,In-person
627,South Dakota Board of Regents — Dakota State University,Public,SD,In-person
628,South Dakota Board of Regents — Northern State University,Public,SD,In-person
629,South Dakota Board of Regents — South Dakota School of Mines and Technology,Public,SD,In-person
630,South Dakota Board of Regents — South Dakota State University,Public,SD,In-person
631,South Dakota Board of Regents — University of South Dakota,Public,SD,In-person
632,Southeast Missouri State University,Public,MO,Undecided
633,Southeastern Oklahoma State University,Public,OK,In-person
634,Southern Illinois University,Public,IL,Undecided
635,Southern Methodist University,Private,TX,In-person
636,Southern Nazarene University,Private,OK,In-person
637,Southern New Hampshire University,Private,NH,Online
638,Southern Wesleyan University,Private,SC,In-person
639,Southwest Baptist University,Private,MO,In-person
640,Southwest Minnesota State University,Public,MN,In-person
641,Southwestern Baptist Theological Seminary,Private,TX,In-person
642,Southwestern Oklahoma State University,Public,OK,In-person
643,Southwestern University,Private,TX,Hybrid model
644,Spring Arbor University,Private,MI,In-person
645,Springfield College,Private,MA,In-person
646,St. Bonaventure University,Private,NY,Considering options
647,St. Cloud State University,Public,MN,In-person
648,St. John Fisher College,Private,NY,In-person
649,St. John's University,Private,NY,Hybrid model
650,St. Louis University,Private,MO,In-person
651,St. Mary’s College of California,Private,CA,In-person
652,St. Michael's College,Private,VT,In-person
653,St. Olaf College,Private,MN,Considering options
654,St. Thomas University,Private,FL,In-person
655,St. Vincent College,Private,PA,In-person
656,Stanford University,Private,CA,Hybrid model
657,Stark State College,Public,OH,In-person
658,Stephen F. Austin State University,Public,TX,Undecided
659,Stetson University,Private,FL,In-person
660,Stevens Institute of Technology,Private,NJ,Considering options
