,index,AR,Location,Price,SAT,Unnamed: 0,Institution,Control,State,Category,Institution_stripped
115,111,46% Acceptance Rate,"Gettysburg, PA ","$34,705 Net Price",1200-1370 SAT Range,278.0,Gettysburg College,Private,PA,Undecided,gettysburgcollege
116,112,34% Acceptance Rate,"Waltham, MA ","$32,714 Net Price",1280-1470 SAT Range,72.0,Brandeis University,Private,MA,Considering options,brandeisuniversity
117,113,41% Acceptance Rate,"Washington, DC ","$37,638 Net Price",1280-1440 SAT Range,276.0,George Washington University,Private,DC,In-person,georgewashingtonuniversity
118,114,25% Acceptance Rate,"Saratoga Springs, NY ","$25,254 Net Price",1200-1400 SAT Range,619.0,Skidmore College,Private,NY,Undecided,skidmorecollege
119,115,43% Acceptance Rate,"Northfield, MN ","$27,587 Net Price",1150-1400 SAT Range,653.0,St. Olaf College,Private,MN,Considering options,st.olafcollege
120,116,74% Acceptance Rate,"Houghton, MI ","$17,139 Net Price",1160-1340 SAT Range,433.0,Michigan Technological University,Public,MI,In-person,michigantechnologicaluniversity
121,117,37% Acceptance Rate,"Irvine, CA ","$13,944 Net Price",1170-1350 SAT Range,728.0,University of California at Irvine,Public,CA,Online,universityofcaliforniaatirvine
122,118,76% Acceptance Rate,"Bloomington, IN ","$12,488 Net Price",1140-1350 SAT Range,330.0,Indiana University,Public,IN,Hybrid model,indianauniversity
123,119,42% Acceptance Rate,"Los Angeles, CA ","$33,738 Net Price",1280-1440 SAT Range,,,,,,
124,120,49% Acceptance Rate,"Tallahassee, FL ","$16,450 Net Price",1190-1330 SAT Range,258.0,Florida State University,Public,FL,In-person,floridastateuniversity
125,121,34% Acceptance Rate,"La Jolla, CA ","$14,616 Net Price",1210-1410 SAT Range,731.0,University of California at San Diego,Public,CA,Hybrid model,universityofcaliforniaatsandiego
126,122,86% Acceptance Rate,"Iowa City, IA ","$14,845 Net Price",1140-1370 SAT Range,760.0,University of Iowa,Public,IA,In-person,universityofiowa
127,123,52% Acceptance Rate,"Los Angeles, CA ","$42,459 Net Price",1180-1360 SAT Range,397.0,Loyola Marymount University,Private,CA,In-person,loyolamarymountuniversity
128,124,35% Acceptance Rate,"San Luis Obispo, CA ","$19,002 Net Price",1200-1380 SAT Range,,,,,,
129,125,37% Acceptance Rate,"Schenectady, NY ","$37,080 Net Price",1220-1400 SAT Range,710.0,Union College,Private,NY,In-person,unioncollege
